Name,R-Sho,L-Sho,L-Elb,R-Elb,L-Wr,R-Wr,L-Hip,R-Hip,L-Knee,R-Knee,L-Ank,R-Ank,Color,Class
V_6-frame12.jpg,73.68,73.68,221.43,138.57,364.87,246.45,290.8,313.68,490.98,501.7,649.49,673.71,blue,V
V_6-frame12.jpg,116,119,365.8,235.23,534.4,426.94,443.98,422.63,750.67,634.38,713.24,769.89,lime,V
V_6-frame12.jpg,94.01,116,234.4,202.04,378.43,427.93,335.18,331.49,527.9,516.61,716.61,705.57,red,NV
V_6-frame13.jpg,73.68,73.68,335.6,138.57,352,246.45,290.8,313.68,490.98,501.7,649.49,673.71,blue,V
V_6-frame13.jpg,116,140.73,365.8,235.23,534.4,426.94,443.98,422.63,749.7,634.38,713.24,769.89,lime,V
V_6-frame13.jpg,94.01,116,234.4,202.04,364.87,427.93,335.18,331.49,527.9,516.61,716.61,705.57,red,NV
V_6-frame15.jpg,72.73,71.01,211.26,137.2,364.87,274.59,311.96,313.9,506.69,524.67,667.34,701.21,blue,V
V_6-frame15.jpg,116,121.02,348.24,235.33,440.65,427.93,445.57,422.68,750.67,634.42,713.24,769.89,lime,V
V_6-frame15.jpg,116,94,234.4,202.04,379.3,427.93,335.18,331.49,529.1,519.04,715.63,706.5,red,NV
V_6-frame18.jpg,74.63,70.01,296.62,136.34,333.29,273.65,304.95,326.31,475.18,534.92,660.72,713.6,blue,V
V_6-frame18.jpg,118.26,119.44,221.43,261.26,364.87,432.13,416.76,401.64,751.63,633.42,713.24,769.89,lime,V
V_6-frame18.jpg,94.01,93.01,235.2,200.64,364.87,427.93,335.39,310.58,535.36,516.51,737.18,705.38,red,V
V_6-frame27.jpg,94.59,71,167.73,132.23,268.03,262.51,282.86,314.84,469,520.2,634,713.6,blue,V
V_6-frame27.jpg,73.68,74,250.23,261.26,384.85,427.93,312.93,306.86,548.84,472.34,736.03,684.59,lime,NV
V_6-frame27.jpg,74.63,73.68,221.43,238.67,364.87,424.72,423.79,422.63,735.23,657.44,713.24,769.89,red,NV
V_6-frame30.jpg,95.57,71,215.96,84.88,364.87,253.48,282.94,314.84,469,534.66,634,706.91,blue,V
