Name,R-Sho,L-Sho,L-Elb,R-Elb,L-Wr,R-Wr,L-Hip,R-Hip,L-Knee,R-Knee,L-Ank,R-Ank,Color,Class
V_37-frame4.jpg,21.26,15.03,91.07,79.03,136.36,126.27,72.9,65.97,164.84,244.01,315.36,335.77,blue,NV
V_37-frame4.jpg,31.0,31.02,88.39,83.93,154.03,144.37,146.41,140.0,236.0,244.01,315.36,335.77,lime,NV
V_37-frame4.jpg,16.0,16.0,91.07,30.0,136.36,21.93,108.0,98.98,187.0,191.37,266.42,251.91,red,NV
V_37-frame4.jpg,61.01,47.0,126.4,106.44,157.92,70.24,178.31,172.74,236.0,244.01,315.36,335.77,black,NV
V_37-frame4.jpg,32.02,46.01,91.07,91.07,136.36,143.61,162.93,156.72,269.14,266.0,335.77,335.77,white,NV
V_37-frame4.jpg,46.01,32.0,89.11,80.0,130.0,114.28,130.97,141.9,237.04,236.91,315.36,315.0,cyan,NV
V_37-frame4.jpg,46.0,32.02,78.6,79.4,133.9,147.36,130.73,128.0,236.0,220.58,315.36,335.77,yellow,NV
V_37-frame4.jpg,48.08,32.02,78.41,181.62,16.03,126.27,133.54,140.0,238.87,234.01,315.36,335.77,magenta,NV
V_37-frame8.jpg,31.0,32.02,88.39,83.93,136.36,144.37,134.13,140.0,236.0,244.01,315.36,335.77,blue,NV
V_37-frame8.jpg,15.0,2.0,49.65,46.01,136.36,16.12,108.78,98.37,187.0,189.39,266.01,267.42,lime,NV
V_37-frame8.jpg,16.0,16.03,91.07,79.03,136.36,126.27,92.28,80.41,179.01,244.01,315.36,335.77,red,NV
V_37-frame8.jpg,47.0,47.01,123.56,105.55,148.31,70.66,182.5,172.74,236.0,244.01,315.36,335.77,black,NV
V_37-frame8.jpg,47.8,33.02,91.07,86.27,136.36,31.14,176.38,170.75,282.93,280.0,347.2,335.77,white,NV
V_37-frame8.jpg,46.01,47.13,78.6,89.69,147.68,127.01,133.54,140.0,225.94,236.48,315.36,329.34,cyan,NV
V_37-frame8.jpg,33.02,48.08,78.6,91.07,134.48,148.31,130.97,128.0,236.0,221.58,315.36,335.77,yellow,NV
V_37-frame8.jpg,46.0,36.25,87.68,79.03,21.21,126.27,132.97,125.0,225.18,220.0,315.36,335.77,magenta,NV
V_37-frame22.jpg,46.0,32.0,90.21,87.69,146.41,126.27,126.02,133.2,233.0,227.61,313.36,304.59,blue,NV
V_37-frame29.jpg,30.0,22.02,44.6,56.04,17.03,78.01,92.01,83.57,236.0,244.01,315.36,335.77,blue,NV
V_37-frame41.jpg,154.0,31.0,50.29,79.03,24.76,126.27,126.85,143.18,236.0,244.01,315.36,335.77,blue,NV
V_37-frame41.jpg,21.93,21.26,91.07,142.97,136.36,111.77,222.41,289.82,265.48,298.56,315.36,419.15,lime,NV
V_37-frame45.jpg,32.0,45.01,77.8,68.59,136.36,49.34,98.67,95.52,236.0,244.01,315.36,335.77,blue,NV
V_37-frame45.jpg,31.0,17.03,55.76,99.64,23.35,68.88,93.56,93.06,157.92,157.0,315.36,335.77,lime,NV
V_37-frame45.jpg,32.02,46.0,99.64,80.0,154.95,134.83,144.16,142.02,252.45,235.69,315.36,335.77,red,NV
V_37-frame45.jpg,35.34,48.1,91.07,98.03,136.36,125.0,190.31,265.71,277.88,291.62,315.36,335.77,black,NV
V_37-frame47.jpg,127.01,16.0,91.07,148.63,136.36,170.85,79.83,64.01,236.0,244.01,315.36,335.77,blue,NV
V_37-frame47.jpg,45.01,32.02,66.48,83.49,136.36,35.34,94.54,97.72,236.0,244.01,315.36,335.77,lime,NV
V_37-frame47.jpg,18.03,29.0,55.8,66.48,136.36,126.27,79.43,80.6,236.0,126.15,315.36,335.77,red,NV
V_37-frame47.jpg,34.93,46.01,98.86,79.03,153.52,126.27,143.39,141.03,235.61,235.54,315.36,335.77,black,NV
V_37-frame50.jpg,16.03,16.0,56.61,55.47,47.01,126.27,96.18,96.34,158.0,157.81,315.36,335.77,blue,NV
V_37-frame50.jpg,31.02,31.02,56.04,65.76,84.31,78.01,94.37,94.2,157.01,159.25,315.36,335.77,lime,NV
V_37-frame50.jpg,48.08,33.02,98.86,98.86,136.36,139.53,142.02,144.37,235.61,237.04,315.36,335.77,red,NV
V_37-frame50.jpg,99.62,94.01,113.72,79.03,84.31,126.27,133.54,147.34,236.0,244.01,315.36,335.77,black,NV
V_37-frame50.jpg,31.0,31.02,91.07,67.18,136.36,113.16,109.9,100.24,236.0,149.58,315.36,335.77,white,NV
V_37-frame50.jpg,57.69,67.54,91.07,211.09,136.36,350.62,258.72,234.2,236.0,303.0,315.36,335.77,cyan,NV
V_37-frame54.jpg,80.01,93.0,187.77,215.63,168.63,126.27,287.54,288.95,236.0,490.07,315.36,335.77,blue,NV
V_37-frame57.jpg,93.01,79.0,167.26,227.08,136.36,126.27,282.93,292.06,440.16,475.28,315.36,335.77,blue,NV
V_37-frame61.jpg,22.02,34.89,189.68,79.03,345.39,126.27,140.87,135.42,236.0,244.01,315.36,335.77,blue,NV
V_37-frame61.jpg,94.05,79.01,167.92,227.7,179.01,126.4,283.81,297.58,236.0,244.01,315.36,335.77,lime,NV
V_37-frame83.jpg,16.0,16.0,43.84,43.84,69.32,87.68,64.03,86.98,109.04,118.7,141.9,142.79,blue,NV
V_37-frame83.jpg,21.26,30.07,79.43,94.2,125.78,187.04,127.58,140.01,236.0,265.42,315.36,335.77,lime,NV
V_37-frame83.jpg,18.0,30.02,96.14,50.92,62.82,126.27,104.69,109.02,236.0,187.01,315.36,335.77,red,NV
