Name,R-Sho,L-Sho,L-Elb,R-Elb,L-Wr,R-Wr,L-Hip,R-Hip,L-Knee,R-Knee,L-Ank,R-Ank,Color,Class
V_766-frame9.jpg,56.6,63.79,155.72,79.03,139.09,126.27,239.46,242.84,366.61,378.63,525.38,545.64,blue,V
V_766-frame9.jpg,45.01,47.01,132.61,114.02,140,126.27,225.49,217.83,404.78,267.8,559.28,424.61,lime,V
V_766-frame9.jpg,61,47.01,100.9,113.16,169.46,178.04,161.68,156.72,280.4,267.92,376.34,399.68,red,NV
V_766-frame13.jpg,31,17,49.98,56.04,136.36,126.27,65.73,69.35,236,244.01,315.36,335.77,blue,NV
V_766-frame13.jpg,22.67,31,56.61,43.84,136.36,126.27,65,63.79,236,244.01,315.36,335.77,lime,NV
V_766-frame13.jpg,31.02,16,48.7,67.18,63.06,69.77,78.64,78.45,236,244.01,315.36,335.77,red,NV
V_766-frame13.jpg,48.01,47,139.98,79.03,112.64,126.27,252.17,264.82,391.76,244.01,315.36,335.77,black,V
V_766-frame13.jpg,47,48.38,100.26,125.4,162.11,190.7,178.57,172,297.43,286.88,392.31,426.68,white,NV
V_766-frame13.jpg,47.13,20.52,91.07,79.03,136.36,126.27,209.75,212.26,395.92,301.01,596.14,460.33,cyan,V
V_766-frame19.jpg,31.02,17,56.3,65.07,136.36,126.27,65.97,65.73,236,244.01,315.36,335.77,blue,NV
V_766-frame19.jpg,63.79,49.34,136.01,154.43,136.36,90.21,205,227.88,310.27,396.72,446.05,562,lime,V
V_766-frame19.jpg,23.09,48.08,101.04,128.08,179.2,205.62,203.54,191.67,326.81,333.33,427.59,457.42,red,NV
V_766-frame20.jpg,32.7,16.03,45.28,44.55,136.36,126.27,66.94,65.73,236,244.01,315.36,335.77,blue,NV
V_766-frame20.jpg,31,31,65.76,57.43,136.36,141.22,84.5,80.6,236,244.01,315.36,335.77,lime,NV
V_766-frame20.jpg,63.79,64.76,179.27,79.03,106.44,126.27,269.14,260.23,373.29,244.01,315.36,335.77,red,V
V_766-frame20.jpg,31,17,55.47,65.05,136.36,126.27,65,64.76,236,244.01,315.36,335.77,black,NV
V_766-frame20.jpg,64.76,63.06,168.63,168.24,136.36,93.3,204.55,227.61,302.33,409.7,449.93,556.36,white,V
V_766-frame20.jpg,47.13,21.26,34.89,79.03,45.28,126.27,44.6,47.01,84.86,80.6,115.25,112.15,cyan,NV
V_766-frame20.jpg,47.13,69.63,126.67,79.03,214.62,126.27,226.74,222.27,348.24,350.07,442.57,472.1,yellow,NV
V_766-frame29.jpg,31.02,30,49.65,79.03,15.03,126.27,83.93,78.01,236,244.01,315.36,335.77,blue,NV
V_766-frame29.jpg,30,17.03,45.28,56.04,136.36,126.27,66.94,65.97,236,244.01,315.36,335.77,lime,NV
V_766-frame29.jpg,77.01,78,188.79,79.03,127.58,126.27,270.12,276.24,430.73,431.06,315.36,335.77,red,V
V_766-frame29.jpg,79.62,94.2,203.71,200.53,266.01,146.1,233.75,236.91,392.02,400.47,486.07,546.44,black,V
V_766-frame29.jpg,50.29,63.79,131.52,132.61,202.79,187.6,216.54,203.55,350.66,345.39,440.15,470.35,white,NV
V_766-frame29.jpg,47.13,15.03,76,79.03,94.2,126.27,109.18,108,170.75,171,221.05,335.77,cyan,NV
V_766-frame30.jpg,78.01,78,194.26,134.03,140.8,126.27,272.09,274.33,449.91,244.01,315.36,335.77,blue,V
V_766-frame30.jpg,34.01,31.02,91.07,65.76,136.36,82.08,78.45,78.64,236,244.01,315.36,335.77,lime,NV
V_766-frame30.jpg,93.21,80.6,188.68,202.25,251.45,190.31,246.66,236.91,385.5,398.7,480.71,549.44,red,V
V_766-frame30.jpg,63.56,48.01,121.38,139.09,195.13,187.6,198.28,203.63,324.61,346.21,415.31,473.35,black,NV
V_766-frame39.jpg,62.03,77.01,173.44,79.03,136.36,126.27,281.82,309.31,236,244.01,315.36,335.77,blue,V
V_766-frame39.jpg,34.01,16.03,91.07,55.22,136.36,126.27,215.97,64.03,236,244.01,315.36,335.77,lime,NV
V_766-frame39.jpg,16,16.03,34.89,35.36,20.52,126.27,57.14,61,104.65,94.01,315.36,335.77,red,NV
V_766-frame39.jpg,35.78,54.92,91.07,118.7,136.36,206.49,235.2,245.52,313.46,244.01,315.36,335.77,black,V
V_766-frame39.jpg,64.54,63.01,121.51,133.81,190.31,196.38,177.34,173.79,302.42,315.52,428.97,441.52,white,NV
V_766-frame45.jpg,33,46.01,91.07,67.18,136.36,49.65,78,80.6,236,244.01,315.36,335.77,blue,NV
V_766-frame45.jpg,48.38,32.02,79.2,90.55,21.21,23.35,114.56,110.17,236,244.01,315.36,335.77,lime,NV
V_766-frame45.jpg,89.69,17.03,91.07,92,136.36,78.64,63.01,143.01,236,244.01,315.36,335.77,red,NV
V_766-frame45.jpg,16,16.03,34.44,34.48,21.21,126.27,49.04,47,70.66,79.25,105.99,112.01,black,NV
V_766-frame45.jpg,15.03,21.26,91.07,173.01,136.36,239.89,233.42,244.98,397.86,449.93,315.36,549.13,white,V
V_766-frame45.jpg,62.01,63.01,122.79,133.22,202.79,179.27,179.27,189.55,303.61,312.36,427.52,422.23,cyan,NV
V_766-frame61.jpg,30,17,45.97,79.03,3,126.27,79.83,135.42,236,244.01,315.36,335.77,blue,NV
V_766-frame61.jpg,31.02,32,79.81,77.42,21.93,32.65,104.65,95.04,236,244.01,315.36,335.77,lime,NV
V_766-frame61.jpg,47.01,50,126.29,96.18,218.01,98.03,235.42,247.29,350.04,431.11,315.36,335.77,red,V
V_766-frame61.jpg,56.08,49.65,155.35,79.03,169.19,126.27,255.36,253.9,400.67,244.01,315.36,335.77,black,V
V_766-frame61.jpg,62.01,63.01,121.51,134.03,136.36,179.54,182.83,175.76,236,297.38,315.36,407.31,white,NV
V_766-frame61.jpg,47.13,53.01,92.76,79.03,38.42,126.27,100.85,94,236,244.01,315.36,335.77,cyan,NV
V_766-frame66.jpg,16,17.03,44.55,43.14,55.47,62.82,50.6,61,236,65.25,315.36,335.77,blue,NV
V_766-frame66.jpg,47,61.01,113.05,129.76,159.05,77.2,205.2,242.07,335.48,410.49,435.87,335.77,lime,V
V_766-frame66.jpg,33.12,22.63,154.03,100.42,153.52,113.6,225.94,245.52,382.36,417.19,315.36,542.79,red,V
V_766-frame66.jpg,48.04,62,122.67,122.92,136.36,184.46,182.5,174.6,285.73,284.69,315.36,409.7,black,NV
V_766-frame68.jpg,34.44,31,78.6,78.01,21.93,126.27,142.01,135.42,236,244.01,315.36,335.77,blue,NV
V_766-frame68.jpg,29,17,91.07,42.43,136.36,126.27,62.01,50.29,236,244.01,315.36,335.77,lime,NV
V_766-frame68.jpg,17,30,43.84,35.36,56.6,50.6,55.76,48.01,236,65.25,315.36,335.77,red,NV
V_766-frame68.jpg,33.54,17,91.07,56.3,136.36,126.27,79.62,79.43,236,244.01,315.36,335.77,black,NV
V_766-frame68.jpg,50,61.01,123.91,148.33,170.66,75.8,253.03,284.26,361.4,449.32,490.62,335.77,white,V
V_766-frame68.jpg,15.03,21.93,144.37,79.03,147.34,126.27,239.46,247.92,400.63,424.81,315.36,551.4,cyan,V
V_766-frame68.jpg,49.01,62,131.53,122.15,177.61,183.52,182.16,172.84,285.89,284.92,315.36,412.68,yellow,NV
V_766-frame69.jpg,110,21.93,91.07,126.85,136.36,119.1,142.01,68.88,236,244.01,315.36,335.77,blue,NV
